Street,City,State,Zip,City State
329 grandview road,midwest city,ok,73130,"midwest city, ok"
11 Ridgemont Dr,Moore,OK,73165,"Moore, OK"
1213 NW 81ST ST,OKLAHOMA CITY,OK,73114,"OKLAHOMA CITY, OK"
12805 SE 21ST CT,CHOCTAW,OK,73020,"CHOCTAW, OK"
7600 KENT RD,OKC,OK,73068,"OKC, OK"
601 NW 111TH ST,OKLAHOMA CITY,OK,73114,"OKLAHOMA CITY, OK"
828 SE 69TH ST,OKLAHOMA CITY,OK,73149,"OKLAHOMA CITY, OK"
10026 Hefner Village Terrace,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
3823 S 87th E Ave S,TULSA,OK,74145,"TULSA, OK"
819 Schulze Drive,Norman,OK,73071,"Norman, OK"
2429 SW 79TH ST,OKLAHOMA CITY,OK,73159,"OKLAHOMA CITY, OK"
1570 N 186TH RD,MOUNDS,OK,74047,"MOUNDS, OK"
8220 NW 39TH ST,BETHANY,OK,73008,"BETHANY, OK"
10208 S Ranchwood Manor DR,Oklahoma,OK,73139,"Oklahoma, OK"
12515 N BRYANT AVE,EDMOND,OK,73013,"EDMOND, OK"
821 LEISURE DR,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
2523 NW 109th Street,Oklahoma City,OK,73120,"Oklahoma City, OK"
6520 NW 8TH ST,OKLAHOMA CITY,OK,73127,"OKLAHOMA CITY, OK"
3679 Riverfront Dr,Newcastle,OK,73065,"Newcastle, OK"
604 E Bellview Dr,MIDWEST CITY,OK,73130,"MIDWEST CITY, OK"
6631 E 26 CT S,TULSA,OK,74129,"TULSA, OK"
4200 ROCK CANYON RD,EDMOND,OK,73025,"EDMOND, OK"
1933 NW 28th St,Oklahoma City,OK,73106,"Oklahoma City, OK"
123 E COOL SPRINGS,RUSH SPRINGS,OK,73082,"RUSH SPRINGS, OK"
20001 CHEROKEE WAY,Lexington,OK,73051,"Lexington, OK"
4607 S 225TH W AVE,SAND SPRINGS,OK,74063,"SAND SPRINGS, OK"
1707 SE 62ND ST,OKLAHOMA CITY,OK,73149,"OKLAHOMA CITY, OK"
13916 Exminster,OKLAHOMA CITY,OK,73049,"OKLAHOMA CITY, OK"
1141 BELLEVIDERE DR,OKLAHOMA CITY,OK,73117,"OKLAHOMA CITY, OK"
Acount No: R141455150,,,,","
2521 OVERHOLSER DR,NICOMA PARK,OK,73066,"NICOMA PARK, OK"
1108 WESTBROOKE TER,NORMAN,OK,73072,"NORMAN, OK"
37598 110th St,Wayne,OK,73095,"Wayne, OK"
11113 ASHFORD DR,YUKON,OK,73099,"YUKON, OK"
2151 108th AVE NE,Norman,OK,73026,"Norman, OK"
705 DEL HAVEN DR,DEL CITY,OK,73115,"DEL CITY, OK"
9924 NE 51ST TER,SPENCER,OK,73084,"SPENCER, OK"
319 Royal Oak DR,Norman,OK,73069,"Norman, OK"
825 Miller Dr,OKC,OK,73099,"OKC, OK"
3312 Heather Glen Ter,Norman,OK,73072,"Norman, OK"
6716 N SAINT CLAIR AVE,OKLAHOMA CITY,OK,73116,"OKLAHOMA CITY, OK"
2002 W SW 59th St,MUSTANG,OK,73064,"MUSTANG, OK"
3608 Necia ST,Moore,OK,73160,"Moore, OK"
2816 CLERMONT PL,OKLAHOMA CITY,OK,73116,"OKLAHOMA CITY, OK"
7605 King Camp Rd,MANNFORD,OK,74044,"MANNFORD, OK"
19864 Linda Lane,Harrah,OK,73045,"Harrah, OK"
